"년도","월","회원타입","건수","현년 전기사용량","전년 전기사용량","전전년 전기사용량","토탈 전기 증감량","토탈 전기탄소 증감량","현년 가스사용량","전년 가스사용량","전전년 가스사용량","토탈 가스 증감량","토탈 가스탄소 증감량","현년 수도사용량","전년 수도사용량","전전년 수도사용량","토탈 수도 증감량","토탈 수도탄소 증감량","현년 지역난방 사용량","전년 지역난방 사용량","전전년 지역난방 사용량","토탈 지역난방 증감량","토탈 지역난방탄소 증감량","등록일"
"2022","08","학교","6652","125832118","116815766","112754081","11047194.5","4684010.468","3768924","3477140","3181682","439513","984509.12","1920214.2","1743667.6","1785802.4","155479.2","51619.0944","27","1","1","26","103.532","2022-11-01 04:14:10.0"
"2022","08","종교단체","803","8232943","7032970","6744031","1344442.5","570043.62","238743","215685","197329","32236","72208.64","56718","42835","47833","11384","3779.488","0","0","0","0","0","2022-11-01 04:14:10.0"
"2022","08","소상공인","47926","120183240","121643496","110450458","4136263","1753775.512","1976612","1821079","2003228","64458.5","144387.04","1695680.6","1583297","1700021.4","54021.4","17935.1048","18","8","8","10","39.82","2022-11-01 04:14:10.0"
"2022","08","기업","18884","743931782","728795086","712355674","23356402","9903114.448","26544448","24705164","21235509","3574111.5","8006009.76","5332561.2","4959514.7","5014239.6","345684.05","114767.1046","0","0","0","0","0","2022-11-01 04:14:10.0"
"2022","08","공동주택관리소","3585","667004016","718561873","592544658","11450750.5","4855118.212","2275358","2287061","2373008","-54676.5","-122475.36","21006705.8","21815144.2","21699799.7","-750766.15","-249254.3618","0","0","0","0","0","2022-11-01 04:14:10.0"
"2022","08","공공기관","2341","184005957","180836608","173472333","6851486.5","2905030.276","3125727","3110425","2827993","156518","350600.32","998662.2","831078.4","785463.6","190391.2","63209.8784","0","0","0","0","0","2022-11-01 04:14:10.0"
"2022","08","개인","1175739","382965547","420372481","342959496","1299558.5","551012.804","8718677","10180855","10314603","-1529052","-3425076.48","15555926.8","16301515.2","16468008.528","-828835.064","-275173.241248","3278812.728","3281306.962","3284629.598","-4155.552","-10347.789454","2022-11-01 04:14:10.0"
"2022","07","학교","6646","132890996","120472744","110486654","17411297","7382389.928","3573543","3421820","3037689","343788.5","770086.24","1937070.6","1751125.4","1586716.6","268149.6","89025.6672","13.05","35.05","35.05","-22","-87.604","2022-10-01 04:13:31.0"
"2022","07","종교단체","802","7275213","6276508","6059212","1107353","469517.672","182222","179636","173050","5879","13168.96","42153","49429","36250","-686.5","-227.918","0","0","0","0","0","2022-10-01 04:13:31.0"
"2022","07","소상공인","47593","110155572","106409126","102975117","5463450.5","2316503.012","1938444","1901087","1963283","6259","14020.16","1485475.4","1411087","1481311.4","39276.2","13039.6984","13","1","1","12","47.784","2022-10-01 04:13:31.0"
"2022","07","기업","18795","734695297","723556861","679913462","32960135.5","13975097.452","20411256","20322749","18228097","1135833","2544265.92","4704445.2","4437961.8","4573416.2","198756.2","65987.0584","0","0","0","0","0","2022-10-01 04:13:31.0"
"2022","07","공동주택관리소","3575","584219077","587487893","501531633","39709314","16836749.136","2439305","2562208","2441537","-62567.5","-140151.2","20173921.8","20727512.9","21672919.2","-1026294.25","-340729.691","0","0","0","0","0","2022-10-01 04:13:31.0"
"2022","07","공공기관","2338","175099486","169092449","158902549","11101987","4707242.488","2782061","2610719","2518194","217604.5","487434.08","1262978.2","1011305.2","1059345.2","227653","75580.796","0","0","0","0","0","2022-10-01 04:13:31.0"
"2022","07","개인","1173641","336383318","343120184","286996130","21325161","9041868.264","10701998","11523248","10842786","-481019","-1077482.56","14907198","16896368.664","15978792.8","-1530382.732","-508087.067024","50033.827","429447.045","426674.771","-378027.081","17530.580524","2022-10-01 04:13:31.0"
"2022","06","학교","6641","108466743","101040688","96058351","9917223.5","4204902.764","2777953","2607605","2379575","284363","636973.12","1976081","1797559","1429654.4","362474.3","120341.4676","65.158","63.136","66.121","0.5295","2.000204","2022-09-01 04:13:33.0"
"2022","06","종교단체","803","5465996","5191605","5356087","192150","81471.6","158502","152142","139774","12544","28098.56","47767","42288","36877","8184.5","2717.254","0","0","0","0","0","2022-09-01 04:13:33.0"
"2022","06","소상공인","47228","90157061","87711813","91286316","657996.5","278990.516","2016862","1994137","2029784","4901.5","10979.36","1557061","1477656.6","1492261.3","72102.05","23937.8806","3","4","4","-1","-3.982","2022-09-01 04:13:33.0"
"2022","06","기업","18776","626529234","620709853","625490900","3428857.5","1453835.58","21097892","17958306","15565803","4335837.5","9712276","4543702.2","4267067.4","4140177","340080","112906.56","0","0","0","0","0","2022-09-01 04:13:33.0"
"2022","06","공동주택관리소","3555","458306172","469188735","480683820","-16630105.5","-7051164.732","3160618","3623625","3324365","-313377","-701964.48","20480822.1","21093431","21514527.7","-823157.25","-273288.207","0","0","0","0","0","2022-09-01 04:13:33.0"
"2022","06","공공기관","2336","142726020","141504206","143859934","43950","18634.8","2245855","2104248","2047931","169765.5","380274.72","815298.2","685555.4","666190.6","139425.2","46289.1664","0","0","0","0","0","2022-09-01 04:13:33.0"
"2022","06","개인","1171004","254486733","261958000","272185554","-12585044","-5336058.656","15468022","18928542","18396145","-3194321.5","-7155280.16","15087457.3","15663862.241","16100703.494","-794825.5675","-263882.08841","838539.99","873617.636","848537.783","-22537.7195","-85867.51856688","2022-09-01 04:13:33.0"
"2022","05","학교","6624","88086996","82683994","75413933","9038032.5","3832125.78","2565297","2343688","1920884","433011","969944.64","1755770","1634248.6","1207205","335043.2","111234.3424","1213.927","1621.318","1992.122","-592.793","-1051.441908","2022-08-01 04:12:22.0"
"2022","05","종교단체","803","4871789","4723860","4636845","191436.5","81169.076","183938","193999","174913","-518","-1160.32","32063","32949","30322","427.5","141.93","0","0","0","0","0","2022-08-01 04:12:22.0"
"2022","05","소상공인","46964","76553260","74092453","75171679","1921194","814586.256","2159313","2053843","2217734","23524.5","52694.88","1303644.8","1263751.3","1279700.4","31918.95","10597.0914","160","282","123","-42.5","77.629656","2022-08-01 04:12:22.0"
"2022","05","기업","18746","558453702","531743849","525647231","29758162","12617460.688","22748267","19309990","21199990","2493277","5584940.48","3794287","3812057.6","3605427","85544.7","28400.8404","0","0","0","0","0","2022-08-01 04:12:22.0"
"2022","05","공동주택관리소","3536","337310710","345361172","349049028","-9894390","-4195221.36","5151313","5310852","6247474","-627850","-1406384","19925119.1","20054332.8","20771672.3","-487883.45","-161977.3054","0","0","0","0","0","2022-08-01 04:12:22.0"
"2022","05","공공기관","2337","128958148","126062867","126206501","2823464","1197148.736","2310461","2042644","2088436","244921","548623.04","1050085.6","965821.6","960000","87174.8","28942.0336","0","0","0","0","0","2022-08-01 04:12:22.0"
"2022","05","개인","1171653","238866649","248860157","253071137","-12098998","-5129975.152","28185559","29357965","33958681","-3472764","-7778991.36","14344240.1","14657252","15581783.5","-775277.65","-257392.1798","1457446.39","1881777.025","3622789.417","-1294836.831","-871597.06942572","2022-08-01 04:12:22.0"
"2022","04","학교","6605","115812927","102972668","90181444","19235871","8156009.304","3985657","3735521","3179263","528265","1183313.6","1472622","1558193.4","1344104.8","21472.9","7129.0028","6075.428","5866.072","11289.505","-2502.3605","-5135.158984","2022-07-01 04:16:40.0"
"2022","04","종교단체","802","5543777","5268175","4796480","511449.5","216854.588","360298","326975","288052","52784.5","118237.28","33552","37329","34649","-2437","-809.084","0","0","0","0","0","2022-07-01 04:16:40.0"
"2022","04","소상공인","46761","78896442","77336942","78523332","966305","409713.32","2505908","2481908","2579317","-24704.5","-55338.08","1308351.6","1370512.1","1422941.3","-88375.1","-29340.5332","522.07","871.21","782.32","-304.695","-314.709196","2022-07-01 04:16:40.0"
"2022","04","기업","18714","506826935","498352249","479565436","17868092.5","7576071.22","33805744","30151211","29385102","4037587.5","9044196","3568233","3777632.9","3836894.6","-239030.75","-79358.209","0","0","0","0","0","2022-07-01 04:16:40.0"
"2022","04","공동주택관리소","3514","464021894","455998479","464748041","3648634","1547020.816","9894598","9309898","9864858","307220","688172.8","19610602.6","20151868.3","21064215.2","-997439.15","-331149.7978","0","0","0","0","0","2022-07-01 04:16:40.0"
"2022","04","공공기관","2336","131664312","126943521","126302198","5041452.5","2137575.86","3241100","2793918","3112842","287720","644492.8","654607.2","603778.6","700699.2","2368.3","786.2756","0","0","0","0","0","2022-07-01 04:16:40.0"
"2022","04","개인","1169198","255028242","255773581","263775361","-4746229","-2012401.096","49843915.6","44018495","48994836","3337250.1","7475440.224","14443060.3","15009589.412","15539872.188","-831670.5","-276114.606","5725570.382","5614547.908","8199603.046","-1181505.095","-1793477.42501424","2022-07-01 04:16:40.0"
"2022","03","학교","6603","136664921","120734627","109036272","21779471.5","9234495.916","6284413","5671926","5446811","725044.5","1624099.68","1282288.2","1305797.4","1364172.2","-52696.6","-17495.2712","18095.436","14764.178","17525.591","1950.5515","3944.025878","2022-06-01 04:12:33.0"
"2022","03","종교단체","802","6713464","6024940","5899055","751466.5","318621.796","591307","533492","491325","78898.5","176732.64","33099","32338","42801","-4470.5","-1484.206","0","0","0","0","0","2022-06-01 04:12:33.0"
"2022","03","소상공인","46565","84800511","79231006","84757551","2806232.5","1189842.58","3294642","3070661","3204441","157091","351883.84","1251729.8","1250698","1409079.6","-78159","-25948.788","1825.21","1925.7","1472.49","126.115","567.309888","2022-06-01 04:12:33.0"
"2022","03","기업","18709","526948149","512870019","517159735","11933272","5059707.328","40327600","49630540","41403587","-5189463.5","-11624398.24","3499356.2","3519458.4","4078829","-299787.5","-99529.45","0","0","0","0","0","2022-06-01 04:12:33.0"
"2022","03","공동주택관리소","3504","460974443","448779085","466391046","3389377.5","1437096.06","14567130","13131142","12888577","1557270.5","3488285.92","18838514.8","19829461.3","19600212.7","-876322.2","-290938.9704","0","0","0","0","0","2022-06-01 04:12:33.0"
"2022","03","공공기관","2336","137761368","130002989","135418045","5050851","2141560.824","5120394","4374947","4667660","599090.5","1341962.72","1010860.8","985635.2","1129079.4","-46496.5","-15436.838","0","0","0","0","0","2022-06-01 04:12:33.0"
"2022","03","개인","1165693","256771728","251731215","263808981","-998370","-423308.88","75577723","67936878","65321081","8948743.5","20045185.44","14181287.1","14876497.7","14991794.1","-752858.8","-249949.1216","15843818.715","12963316.204","14555184.34","2084568.443","3202413.7055178","2022-06-01 04:12:33.0"
"2022","02","학교","6602","157657158","146873171","137006604","15717270.5","6664122.692","7289632","7063140","6645007","435558.5","975651.04","1572870.8","1404969.2","1709885.2","15443.6","5127.2752","29114.503","24660.149","22785.707","5391.575","7093.634606","2022-05-01 04:12:01.0"
"2022","02","종교단체","799","8423765","7670035","7971349","603073","255702.952","708582","674893","632031","55120","123468.8","37991","31660","49003","-2340.5","-777.046","0","0","0","0","0","2022-05-01 04:12:01.0"
"2022","02","소상공인","46451","100895260","96021383","96917961","4425588","1876449.312","3815164","3687980","3933321","4513.5","10110.24","1465347.3","1336237.2","1635910","-20726.3","-6881.1316","3364.17","2328.81","2355.63","1021.95","691.281976","2022-05-01 04:12:01.0"
"2022","02","기업","18715","562757507","534141760","554652326","18360464","7784836.736","49678815","52467537","49876231","-1493069","-3344474.56","3925963.2","3562422","4650313.4","-180404.5","-59894.294","0","0","0","0","0","2022-05-01 04:12:01.0"
"2022","02","공동주택관리소","3501","511178995","510517794","491210708","10314744","4373451.456","17273764","17115297","15079250","1176490.5","2635338.72","20095172.6","20588359.6","19895997.5","-147005.95","-48805.9754","0","0","0","0","0","2022-05-01 04:12:01.0"
"2022","02","공공기관","2336","154268239","147443309","150261719","5415725","2296267.4","5852046","5909121","5627435","83768","187640.32","673765.4","601119.8","899441","-76515","-25402.98","0","0","0","0","0","2022-05-01 04:12:01.0"
"2022","02","개인","1163638","279071999","281062443","272599067","2241244","950287.456","90004956","86801591","77819560","7694380.5","17235412.32","14437161.1","14811874.9","14802354.3","-369953.5","-122824.562","27615965.122","22678825.856","21680326.626","5436388.881","6906195.02975648","2022-05-01 04:12:01.0"
"2022","01","학교","6600","173137148","163191387","149415451","16833729","7137501.096","8300197","8123977","8009428","233494.5","523027.68","1660752.8","1490518.4","1987378.6","-78195.7","-25960.9724","32772.242","34319.389","27173.846","2025.6245","1454.194378","2022-04-01 04:12:03.0"
"2022","01","종교단체","799","8916345","8015960","8629855","593437.5","251617.5","615260","630347","625577","-12702","-28452.48","33647","33407","52687","-9400","-3120.8","0","0","0","0","0","2022-04-01 04:12:03.0"
"2022","01","소상공인","46369","105538196","101466349","102289575","3660234","1551939.216","3734561","3719906","4151397","-201090.5","-450442.72","1327161.4","1224871.5","1522764.5","-46656.6","-15489.9912","3653.84","3486.38","2409.39","705.955","812.31474","2022-04-01 04:12:03.0"
"2022","01","기업","18700","622161965","611518463","594011783","19396842","8224261.008","53181911","52482438","53442912","219236","491088.64","3807826.3","3534438.2","4436053.2","-177419.4","-58903.2408","0","0","0","0","0","2022-04-01 04:12:03.0"
"2022","01","공동주택관리소","3501","525982739","540828669","497464221","6836294","2898588.656","15139944","16313804","14771814","-402865","-902417.6","19122148.5","19744950.4","19152547.4","-326600.4","-108431.3328","0","0","0","0","0","2022-04-01 04:12:03.0"
"2022","01","공공기관","2335","162223852","158787330","156253172","4703601","1994326.824","5784739","5605850","5914901","24363.5","54574.24","929504","917890","1214338","-136610","-45354.52","0","0","0","0","0","2022-04-01 04:12:03.0"
"2022","01","개인","1161498","286037593","298749540","275002674","-838514","-355529.936","80605997","87017346","75703427","-754389.5","-1689832.48","14303008.9","14784512.1","14483056.6","-330775.45","-109817.4494","30320240.229","31593018.295","25725746.684","1660857.7395","1784511.4555192","2022-04-01 04:12:03.0"
"2021","12","학교","6600","150065449","139110014","153572104","3724390","1579141.36","6496119","6440791","6993474","-221013.5","-495070.24","1778908.2","1791139","2181560.4","-207441.5","-68870.578","27727.13","29606.652","23744.17","1051.719","2311.599402","2022-03-07 11:04:31.0"
"2021","12","종교단체","799","6660958","6434405","7540284","-326386.5","-138387.876","397977","396698","435881","-18312.5","-41020","39138","38374","64652","-12375","-4108.5","0","0","0","0","0","2022-03-07 11:04:31.0"
"2021","12","소상공인","46358","89215591","88496992","93973661","-2019735.5","-856367.852","3030459","3097347","3512433","-274431","-614725.44","1474324.6","1508884.8","1677868","-119051.8","-39525.1976","3128.71","2755.35","2172.1","664.985","497.757956","2022-03-07 11:04:31.0"
"2021","12","기업","18693","584171528","570196377","588162549","4992065","2116635.56","35549129","33615432","30620123","3431351.5","7686227.36","4015168","4084998.4","4783507.6","-419085","-139136.22","0","0","0","0","0","2022-03-07 11:04:31.0"
